size_bytes,t_waking_s,pid,waker_cpu,target_cpu,waking_to_ipi,ipi_to_idle_exit,idle_exit_to_wakeup,wakeup_to_switch,switch_to_user,waking_to_running_ns,waking_to_user_ns
262144,594626.835763410,1204568,0,1,588,,,956,11105,1712,12817
262144,594626.835781876,1204566,1,0,597,,,850,12225,1673,13898
262144,594626.835794885,1204568,0,1,546,,,1056,48721,1782,50503
262144,594626.835803120,1204566,1,0,481,,,986,11781,1660,13441
262144,594626.835815779,1204568,0,1,382,,,963,28057,1552,29609
262144,594626.835824499,1204566,1,0,544,,,785,10926,1694,12620
262144,594626.835836183,1204568,0,1,510,,,812,7668,1537,9205
262144,594626.835844470,1204566,1,0,542,,,849,11317,1568,12885
262144,594626.835862292,1204568,0,1,529,,,857,15681,1552,17233
262144,594626.835878570,1204566,1,0,556,,,1093,48681,1870,50551
262144,594626.835887642,1204568,0,1,552,,,1026,11411,1753,13164
262144,594626.835899829,1204566,1,0,573,,,946,27562,1730,29292
262144,594626.835908454,1204568,0,1,561,,,1243,10821,1979,12800
262144,594626.835920399,1204566,1,0,453,,,1478,6582,2140,8722
262144,594626.835928307,1204568,0,1,446,,,986,11031,1625,12656
262144,594626.835946695,1204566,1,0,838,,,963,11797,1999,13796
262144,594626.835959639,1204568,0,1,443,,,782,49766,1439,51205
262144,594626.835968532,1204566,1,0,632,,,728,11534,1584,13118
262144,594626.835980778,1204568,0,1,443,,,1191,28245,1821,30066
262144,594626.835989194,1204566,1,0,469,,,857,11827,1517,13344
262144,594626.836001552,1204568,0,1,515,,,983,7583,1709,9292
262144,594626.836009958,1204566,1,0,506,,,981,11001,1654,12655
262144,594626.836027804,1204568,0,1,543,,,811,11352,1603,12955
262144,594626.836039706,1204566,1,0,661,,,917,46351,1797,48148
262144,594626.836047373,1204568,0,1,392,,,942,11148,1496,12644
262144,594626.836059040,1204566,1,0,477,,,758,27399,1415,28814
262144,594626.836066976,1204568,0,1,520,,,812,10912,1500,12412
262144,594626.836078469,1204566,1,0,466,,,939,7805,1580,9385
262144,594626.836086922,1204568,0,1,533,,,1162,10974,1855,12829
